,Inventory Count Date,11th feb 2023,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,,,,,,,,,
1,SKU,Item Description,Category,Status,Location,Remarks,Count Quantity,Balance Quantity,Stock Low Level
2,ERGOSUP2019-HR-BLK-S,"Supreme 2019 Head Rest, Black",Spare Parts,Phased out,2E BEHIND,,11,11,
3,ERGOSUP2019-HR-RD-S,"Supreme 2019 Head Rest, Red",Spare Parts,Phased out,2E BEHIND,,4,4,
4,ERGOSUP2019-BR-BLK-S,"Supreme 2019 Backrest, Black",Spare Parts,Phased out,2E BEHIND,,2,2,
5,ERGOSUP2019-BR-RD-S,"Supreme 2019 Backrest, Red",Spare Parts,Phased out,2E BEHIND,,3,3,
6,ERGOSUP2019-MH-S,Supreme 2019 Seat Mechanism (Mech Hub),Spare Parts,Phased out,2E BEHIND,,0,,
7,ERGOSUP2019-AR-S,Supreme 2019 Arm Rest,Spare Parts,Phased out,2E BEHIND,,7,7,
8,ERGOSUP2019-SB-BLK-S,"Supreme 2019 Seatbase, Black",Spare Parts,Phased out,2E BEHIND,,0,0,
9,ERGOSUP2019-SB-RD-S,"Supreme 2019 Seatbase, Red",Spare Parts,Phased out,2E BEHIND,,0,0,
10,ERGOSUP2019-GL-S,Supreme 2019 Gas Lift,Spare Parts,Phased out,2E BEHIND,,0,0,
11,ERGOCLAS2019-GL-S,Classic 2019 Gas Lift,Spare Parts,Phased out,2E BEHIND,,3,,
12,ERGOSUP2019-CW-S,Supreme 2019 Castor Wheels,Spare Parts,Phased out,2E BEHIND,,2,,
13,GM ITEM,JC35RF-R12S WHITE FROM JIECANG,,Non-standard,GM KAJIE AREA,Check item and assign proper SKU / assign as mock up stock,1,1,
14,GM ITEM,JC35RF-R12S BLACK FROM JIECANG,,Non-standard,GM KAJIE AREA,Check item and assign proper SKU / assign as mock up stock,1,1,
15,ED 2389 1100X 750 MW,MN-WH 13/21,,Non-standard,GM KAJIE AREA,Check item and assign proper SKU / assign as mock up stock,1,1,
16,1100X650 /6MK (L201),ERGOEDGE (WH-017/20) 1100X650,,Non-standard,GM KAJIE AREA,Check item and assign proper SKU / assign as mock up stock,1,1,
17,1100X650 /8MK (3H6),ERGOEDGE (WH-020/20) 1100X650,,Non-standard,GM KAJIE AREA,Check item and assign proper SKU / assign as mock up stock,1,1,
18,WH-L101S-1300X650(T)(L101S),MARVABLE (WH-008-21) WH 1300X650,,Non-standard,GM KAJIE AREA,Check item and assign proper SKU / assign as mock up stock,1,1,
19,1300X650/6MK(3H6),ERGOEDGE WH 1300X 650,,Non-standard,GM KAJIE AREA,Check item and assign proper SKU / assign as mock up stock,1,1,
20,1500X700/14MK(3C4),1500X700/14MK (3C4),,Non-standard,GM KAJIE AREA,Check item and assign proper SKU / assign as mock up stock,1,1,
21,1500X700/14MK(3C2),1500X700/14MK (3C2),,Non-standard,GM KAJIE AREA,Check item and assign proper SKU / assign as mock up stock,1,1,
22,GRPL201-1500X701,MARVABLE(WH-003/21),,Non-standard,GM KAJIE AREA,Check item and assign proper SKU / assign as mock up stock,1,1,
23,MW-3C2-1500X700(T)(3C2),MARVABLE(WH-002/21),,Non-standard,GM KAJIE AREA,Check item and assign proper SKU / assign as mock up stock,1,1,
24,1500X700/10MK(3C4),ERGOEDGE(WH-017/20),,Non-standard,GM KAJIE AREA,Check item and assign proper SKU / assign as mock up stock,1,1,
25,1500X700/14MK(L201),ERGOEDGE(WH-005/20),,Non-standard,GM KAJIE AREA,Check item and assign proper SKU / assign as mock up stock,1,1,
26,1500X700/14MK(L201),ERGOEDGE(WH-014/20),,Non-standard,GM KAJIE AREA,Check item and assign proper SKU / assign as mock up stock,1,1,
27,,FUNNY TABLETOP SIZE,,Non-standard,GM KAJIE AREA,Check item and assign proper SKU / assign as mock up stock,1,1,
28,GCX1600X600_FLP_WHITE,White TT 160cmX60cm (with wire flip),,Non-standard,GM KAJIE AREA,Check item and assign proper SKU / assign as mock up stock,1,1,
29,EVERLITEV2-BLK-S,Lite Frame (Black),Frames,Live,LEVEL 1A,,3,3,2
30,EVERLITEV2-WH-S,Lite Frame (White),Frames,Live,LEVEL 1A,,4,4,2
31,ERGOTUNEV2-GL-170-S,Supreme V2 Gas Lift - 170,Spare Parts (Ergotune),Live,LEVEL 1A,,4,4,1
32,ERGOTUNEV2-GL-140-S,Supreme V2 Gas Lift - 140,Spare Parts (Ergotune),Live,LEVEL 1A,,5,5,1
33,ERGOTUNEV2-GL-150-S,Supreme V2 Gas Lift - 150,Spare Parts (Ergotune),Live,LEVEL 1A,,6,6,1
34,EVERLITE-CABLE-S,Motor extension cable,Spare Parts (Lite Frame),Live,LEVEL 1A,,47,47,
35,EVERLITE-CORD-S,Power Cord,Spare Parts (Lite Frame),Live,LEVEL 1A,,8,8,
36,PEDES-D3-B.BLK-S,Pedestal (Black),Accessories,Live,LEVEL 1B,,2,2,1
37,PEDES-D3-WH-S,Pedestal (White),Accessories,Live,LEVEL 1B,,2,2,1
38,EVERMAXV3.0-BLK-G,MAX FRAME V3 ( BLACK),Frames,Live,LEVEL 1B,,6,6,3
39,EVERMAXV3.0-WH-G,MAX FRAME V3 ( WHITE),Frames,Live,LEVEL 1B,,5,5,3
40,GM ITEMS,LEG 2 STAGES BLACK,Spare Parts,Non-standard,LEVEL 1B,Check item and assign proper SKU / assign as mock up stock,2,2,
41,EE-WHITE EXT 2 LEGS,LEG 3 STAGES WHITE,Spare Parts,Non-standard,LEVEL 1B,Check item and assign proper SKU / assign as mock up stock,1,1,
42,EE-BLACK EXT 2X LEG,LIFTING COLUMN JC3STS-R13S BLACK,Spare Parts,Non-standard,LEVEL 1B,Check item and assign proper SKU / assign as mock up stock,1,1,
43,ERGOCLASV2-MH-S,Classic V2 Mech Hub,Spare Parts (Classic),Live,LEVEL 1D,,10,10,
44,EVERLITE-CONTROL-S,Lite Control Box,Spare Parts (Lite Frame),Live,LEVEL 1D,,6,6,4
45,EVERMAXV3.0-CONTROL-S,Max Control Box,Spare Parts (Max Frame V3),Live,LEVEL 1D,,1,1,4
46,AMPDESKSTD-CONTROL-S,Ampdesk Standard Frame Control Box,Spare Parts (Standard Frame),Phased Out,LEVEL 1D,,4,4,2
47,ERGOSUPV2-MH-S,Supreme V2 Mech Hub,Spare Parts (Supreme),Live,LEVEL 1D,,1,1,5
48,ECO-WT-1200X650-BLACK-S,CLASSIC TABLETOP PDT: 120 ONYX BLACK,Tabletop- Classic,Phased Out,LEVEL 1D,,2,2,
49,ECO-WT-1400X650-BLACK-S,CLASSIC TABLETOP PDT: 140 ONYX BLACK,Tabletop- Classic,Live,LEVEL 1D,,3,3,2
50,ECO-WT-1600X700-BLACK-S,CLASSIC TABLETOP PDT: 160 ONYX BLACK,Tabletop- Classic,Phased out,LEVEL 1D,,1,1,
51,MCUG-TT-WH -1200X600-S,"EverDesk+ Monochrome Unigroove, 1200x600, Lily White",Tabletop- Monochrome Unigroove,Live,LEVEL 1D,,8,8,3
52,MCUG-TT-WH -140X600-S,"EverDesk+ Monochrome Unigroove, 1400x600, Lily White",Tabletop- Monochrome Unigroove,Live,LEVEL 1D,,3,3,3
53,MCUG-TT-WH -1600X700-S,"EverDesk+ Monochrome Unigroove, 1600x700, Lily White",Tabletop- Monochrome Unigroove,Live,LEVEL 1D,,2,2,3
54,MCUG2-TT-BLK-1200x600-S,"EverDesk+ Monochrome Unigroove, 1200x600, Onyx Black",Tabletop- Monochrome Unigroove,Live,LEVEL 1D,,2,2,3
55,MCUG2-TT-BLK-1400x600-S,"EverDesk+ Monochrome Unigroove, 1400x600, Onyx Black",Tabletop- Monochrome Unigroove,Live,LEVEL 1D,,3,3,3
