"id","sku_id","netsuite_id","subsidiary_name","netsuite_location_name","brand_name","country_name","enabled","sku_id_alias","sku_id_alias2","sku_id_alias3","sku_id_alias4"
2,"0J-5CO1-NWYV","3865","Una Holdings : Una SG SPV9","Amazon - UK : SG SPV9","Jocuu",NULL,True,NULL,NULL,NULL,NULL
3,"0O-QCJ0-QELR","6175","Una Holdings : Una SG SPV9","Westbound - USA : SG SPV9","Jocuu",NULL,True,NULL,NULL,NULL,NULL
4,"1 Bottle","8447","Una Holdings : Una MY : Una MY SPV2 : SML","Kerry Logistics - Malaysia : SML","SuperMama Labs",NULL,True,NULL,NULL,NULL,NULL
5,"1 Bottle","8447","Una Holdings : Una MY : Una MY SPV2","Kerry Logistics - Malaysia : SML","SuperMama Labs",NULL,True,NULL,NULL,NULL,NULL
6,"1019-1","1616","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
7,"1019-1","1616","Una Holdings : Una SG SPV1","Ninjavan Malaysia","TSM",NULL,True,NULL,NULL,NULL,NULL
8,"1019-123 lid","1621","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
9,"1019-123 lid","1621","Una Holdings : Una SG SPV1","Ninjavan Malaysia","TSM",NULL,True,NULL,NULL,NULL,NULL
10,"1019-2","1617","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
11,"1019-2","1617","Una Holdings : Una SG SPV1","Ninjavan Malaysia","TSM",NULL,True,NULL,NULL,NULL,NULL
12,"1019-3","1618","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
13,"1019-3","1618","Una Holdings : Una SG SPV1","Ninjavan Malaysia","TSM",NULL,True,NULL,NULL,NULL,NULL
14,"1019-4","1619","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
15,"1019-4","1619","Una Holdings : Una SG SPV1","Ninjavan Malaysia","TSM",NULL,True,NULL,NULL,NULL,NULL
16,"1019-45 lid","1622","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
17,"1019-45 lid","1622","Una Holdings : Una SG SPV1","Ninjavan Indonesia","TSM",NULL,True,NULL,NULL,NULL,NULL
18,"1019-45 lid","1622","Una Holdings : Una SG SPV1","Ninjavan Malaysia","TSM",NULL,True,NULL,NULL,NULL,NULL
19,"1019-5","1620","Una Holdings : Una SG SPV1","Ninjavan Malaysia","TSM",NULL,True,NULL,NULL,NULL,NULL
20,"1019-5","1620","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
21,"12 baby food blue","5343","Una Holdings : Una SG SPV16","Westbound - USA : SG SPV16","Samuel World",NULL,True,"baby food green",NULL,NULL,NULL
22,"12 baby food blue","5343","Una Holdings : Una SG SPV16","Amazon - UK : SG SPV16","Samuel World",NULL,True,NULL,NULL,NULL,NULL
23,"12244-BK","5860","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
24,"12244-BK","5860","Una Holdings : Una SG SPV1","Ninjavan Malaysia","TSM",NULL,True,NULL,NULL,NULL,NULL
25,"12244-WH","5861","Una Holdings : Una SG SPV1","Ninjavan Malaysia","TSM",NULL,True,NULL,NULL,NULL,NULL
26,"12244-WH","5861","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
27,"1300X650/14MK (3C2)","1430","Una Holdings : Una SG SPV8 : Marvable","Kerry Logistics - Singapore : SG SPV8 Marvable","Marvable",NULL,True,NULL,NULL,NULL,NULL
28,"1300X650/14MK (3C4)","1438","Una Holdings : Una SG SPV8 : Marvable","Kerry Logistics - Singapore : SG SPV8 Marvable","Marvable",NULL,True,NULL,NULL,NULL,NULL
29,"1300X650/16MK/2C80(B)/BB","1442","Una Holdings : Una SG SPV8 : Marvable","Kerry Logistics - Singapore : SG SPV8 Marvable","Marvable",NULL,True,NULL,NULL,NULL,NULL
30,"1300X650/18MK (3C2)","1431","Una Holdings : Una SG SPV8 : Marvable","Kerry Logistics - Singapore : SG SPV8 Marvable","Marvable",NULL,True,NULL,NULL,NULL,NULL
31,"1300X650/18MK (3H6)","1434","Una Holdings : Una SG SPV8 : Marvable","Kerry Logistics - Singapore : SG SPV8 Marvable","Marvable",NULL,True,NULL,NULL,NULL,NULL
32,"1300X650/20MK/BB","1443","Una Holdings : Una SG SPV8 : Marvable","Kerry Logistics - Singapore : SG SPV8 Marvable","Marvable",NULL,True,NULL,NULL,NULL,NULL
33,"1300X650/26MK/2C80(B)/3H6","1435","Una Holdings : Una SG SPV8 : Marvable","Kerry Logistics - Singapore : SG SPV8 Marvable","Marvable",NULL,True,NULL,NULL,NULL,NULL
34,"1300x650/2MK (338WN)","1473","Una Holdings : Una SG SPV8 : Marvable","Kerry Logistics - Singapore : SG SPV8 Marvable","Marvable",NULL,True,NULL,NULL,NULL,NULL
35,"1300x650/2MK (374IM)","1475","Una Holdings : Una SG SPV8 : Marvable","Kerry Logistics - Singapore : SG SPV8 Marvable","Marvable",NULL,True,NULL,NULL,NULL,NULL
36,"1500X650 (3H6)","2718","Una Holdings : Una SG SPV8 : Marvable","Kerry Logistics - Singapore : SG SPV8 Marvable","Marvable",NULL,True,NULL,NULL,NULL,NULL
37,"1500X700/14MK (3C2)","1432","Una Holdings : Una SG SPV8 : Marvable","Kerry Logistics - Singapore : SG SPV8 Marvable","Marvable",NULL,True,NULL,NULL,NULL,NULL
38,"1500X700/14MK (3C4)","1439","Una Holdings : Una SG SPV8 : Marvable","Kerry Logistics - Singapore : SG SPV8 Marvable","Marvable",NULL,True,NULL,NULL,NULL,NULL
39,"1500X700/18MK (3C2)","1433","Una Holdings : Una SG SPV8 : Marvable","Kerry Logistics - Singapore : SG SPV8 Marvable","Marvable",NULL,True,NULL,NULL,NULL,NULL
40,"1500X700/18MK (3C4)","1440","Una Holdings : Una SG SPV8 : Marvable","Kerry Logistics - Singapore : SG SPV8 Marvable","Marvable",NULL,True,NULL,NULL,NULL,NULL
41,"1500X700/18MK (3H6)","1436","Una Holdings : Una SG SPV8 : Marvable","Kerry Logistics - Singapore : SG SPV8 Marvable","Marvable",NULL,True,NULL,NULL,NULL,NULL
42,"1500X700/20MK/BB","1444","Una Holdings : Una SG SPV8 : Marvable","Kerry Logistics - Singapore : SG SPV8 Marvable","Marvable",NULL,True,NULL,NULL,NULL,NULL
43,"1500X700/26MK/2C80(B)/3H6","1437","Una Holdings : Una SG SPV8 : Marvable","Kerry Logistics - Singapore : SG SPV8 Marvable","Marvable",NULL,True,NULL,NULL,NULL,NULL
44,"1500X700/26MK/2C80(B)/3H6111","2550","Una Holdings : Una SG SPV8 : Marvable","Kerry Logistics - Singapore : SG SPV8 Marvable",NULL,NULL,True,NULL,NULL,NULL,NULL
45,"1500X700/26MK/2C80(W)/3C4","1441","Una Holdings : Una SG SPV8 : Marvable","Kerry Logistics - Singapore : SG SPV8 Marvable","Marvable",NULL,True,NULL,NULL,NULL,NULL
46,"1500x700/2MK (338WN)","1474","Una Holdings : Una SG SPV8 : Marvable","Kerry Logistics - Singapore : SG SPV8 Marvable","Marvable",NULL,True,NULL,NULL,NULL,NULL
47,"1500x700/2MK (374IM)","1476","Una Holdings : Una SG SPV8 : Marvable","Kerry Logistics - Singapore : SG SPV8 Marvable","Marvable",NULL,True,NULL,NULL,NULL,NULL
48,"1500X700/ERGOCURVE/BB","1445","Una Holdings : Una SG SPV8 : Marvable","Kerry Logistics - Singapore : SG SPV8 Marvable","Marvable",NULL,True,NULL,NULL,NULL,NULL
49,"1570718671-1611045404632-0","2719","Una Holdings : Una SG SPV8 : Marvable","Kerry Logistics - Singapore : SG SPV8 Marvable",NULL,NULL,True,NULL,NULL,NULL,NULL
50,"17mm","8446","Una Holdings : Una MY : Una MY SPV2","Kerry Logistics - Malaysia : SML","SuperMama Labs",NULL,True,NULL,NULL,NULL,NULL
51,"17mm","8446","Una Holdings : Una MY : Una MY SPV2 : SML","Kerry Logistics - Malaysia : SML","SuperMama Labs",NULL,True,NULL,NULL,NULL,NULL
52,"17mm clear","8470","Una Holdings : Una MY : Una MY SPV2","Kerry Logistics - Malaysia : SML","SuperMama Labs",NULL,True,NULL,NULL,NULL,NULL
53,"17mm clear","8470","Una Holdings : Una MY : Una MY SPV2 : SML","Kerry Logistics - Malaysia : SML","SuperMama Labs",NULL,True,NULL,NULL,NULL,NULL
54,"19-UIHD-LSHK","4161","Una Holdings : Una SG SPV5","Kerry Logistics - Singapore : SG SPV5","Bellaforte",NULL,True,NULL,NULL,NULL,NULL
55,"19-UIHD-LSHK","4161","Una Holdings : Una SG SPV5","Invenco - Australia : SG SPV5","Bellaforte",NULL,True,NULL,NULL,NULL,NULL
56,"19-UIHD-LSHK","4161","Una Holdings : Una SG SPV5","Westbound - USA : SG SPV5","Bellaforte",NULL,True,"BEL-MYRTLBCH-WG-T",NULL,NULL,NULL
57,"1914-SB","1537","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
58,"1914-SW","1538","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
59,"1995-1000W","4411","Una Holdings : Una SG SPV9","Westbound - USA : SG SPV9","Jocuu",NULL,True,NULL,NULL,NULL,NULL
60,"19mm","8445","Una Holdings : Una MY : Una MY SPV2","Kerry Logistics - Malaysia : SML","SuperMama Labs",NULL,True,NULL,NULL,NULL,NULL
61,"19mm","8445","Una Holdings : Una MY : Una MY SPV2 : SML","Kerry Logistics - Malaysia : SML","SuperMama Labs",NULL,True,NULL,NULL,NULL,NULL
62,"19mm clear","8469","Una Holdings : Una MY : Una MY SPV2","Kerry Logistics - Malaysia : SML","SuperMama Labs",NULL,True,NULL,NULL,NULL,NULL
63,"19mm clear","8469","Una Holdings : Una MY : Una MY SPV2 : SML","Kerry Logistics - Malaysia : SML","SuperMama Labs",NULL,True,NULL,NULL,NULL,NULL
64,"2 pack white 3.5'' hooks","4372","Una Holdings : Una SG SPV12","Westbound - USA : SG SPV12","Unjumbly",NULL,True,NULL,NULL,NULL,NULL
65,"2 pack white 6'' hooks","4378","Una Holdings : Una SG SPV12","Westbound - USA : SG SPV12","Unjumbly",NULL,True,NULL,NULL,NULL,NULL
66,"20103","4263","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
67,"20104","1536","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
68,"2020 GN","1623","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
69,"2020 GY","1624","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
70,"20F","1539","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
71,"2113-L","8713","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
72,"2113-S","8712","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
73,"21mm","8444","Una Holdings : Una MY : Una MY SPV2 : SML","Kerry Logistics - Malaysia : SML","SuperMama Labs",NULL,True,NULL,NULL,NULL,NULL
74,"21mm","8444","Una Holdings : Una MY : Una MY SPV2","Kerry Logistics - Malaysia : SML","SuperMama Labs",NULL,True,NULL,NULL,NULL,NULL
75,"21mm clear","8468","Una Holdings : Una MY : Una MY SPV2 : SML","Kerry Logistics - Malaysia : SML","SuperMama Labs",NULL,True,NULL,NULL,NULL,NULL
76,"21mm clear","8468","Una Holdings : Una MY : Una MY SPV2","Kerry Logistics - Malaysia : SML","SuperMama Labs",NULL,True,NULL,NULL,NULL,NULL
77,"2222-MM","5862","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
78,"2222-MM","5862","Una Holdings : Una SG SPV1","Ninjavan Malaysia","TSM",NULL,True,NULL,NULL,NULL,NULL
79,"227430EVA","7077","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
80,"227445EVA","7078","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
81,"2297A","1540","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
82,"2298B","1541","Una Holdings : Una SG SPV1",NULL,"TSM",NULL,True,NULL,NULL,NULL,NULL
83,"2299C","1542","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
84,"2301D","1543","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
85,"24mm clear","8477","Una Holdings : Una MY : Una MY SPV2","Kerry Logistics - Malaysia : SML","SuperMama Labs",NULL,True,NULL,NULL,NULL,NULL
86,"24mm clear","8477","Una Holdings : Una MY : Una MY SPV2 : SML","Kerry Logistics - Malaysia : SML","SuperMama Labs",NULL,True,NULL,NULL,NULL,NULL
87,"2I-2P58-5X57","4935","Una Holdings : Una SG SPV6","Westbound - USA : SG SPV6","Velener",NULL,True,NULL,NULL,NULL,NULL
88,"2I-2P58-5X57","4935","Una Holdings","Westbound - USA : SG SPV6","Velener",NULL,True,NULL,NULL,NULL,NULL
89,"2I-2P58-5X57","4935","Una Holdings","Westbound - UK : SG SPV6","Velener",NULL,True,NULL,NULL,NULL,NULL
90,"2I-2P58-5X57","4935","Una Holdings : Una SG SPV6","Westbound - UK : SG SPV6","Velener",NULL,True,NULL,NULL,NULL,NULL
91,"2I-MHSH-Q8G9","906","Una Holdings","Amazon FBA - FR : SG SPV5","Bellaforte",NULL,True,"2I-MHSH-Q8G9-UPC",NULL,NULL,NULL
92,"2I-MHSH-Q8G9","906","Una Holdings","Westbound - UK : SG SPV5","Bellaforte",NULL,True,"UK-2I-MHSH-Q8G9","2I-MHSH-Q8G9-UPC",NULL,NULL
93,"2I-MHSH-Q8G9","906","Una Holdings","Westbound - USA : SG SPV5","Bellaforte",NULL,True,NULL,NULL,NULL,NULL
94,"2I-MHSH-Q8G9","906","Una Holdings : Una SG SPV5","Invenco - Australia : SG SPV5","Bellaforte",NULL,True,NULL,NULL,NULL,NULL
95,"2I-MHSH-Q8G9","906","Una Holdings","Invenco - Australia : SG SPV5","Bellaforte",NULL,True,NULL,NULL,NULL,NULL
96,"2I-MHSH-Q8G9","906","Una Holdings : Una SG SPV5","Westbound - UK : SG SPV5","Bellaforte",NULL,True,"UK-2I-MHSH-Q8G9","2I-MHSH-Q8G9-UPC",NULL,NULL
97,"2I-MHSH-Q8G9","906","Una Holdings : Una SG SPV5","Amazon FBA - FR : SG SPV5","Bellaforte",NULL,True,"2I-MHSH-Q8G9-UPC",NULL,NULL,NULL
98,"2I-MHSH-Q8G9","906","Una Holdings : Una SG SPV5","Westbound - USA : SG SPV5","Bellaforte",NULL,True,"2I-MHSH-Q8G9-UPC",NULL,NULL,NULL
99,"3003-Silver","4415","Una Holdings : Una SG SPV9","Westbound - USA : SG SPV9","Jocuu",NULL,True,NULL,NULL,NULL,NULL
100,"3003-Silver","4415","Una Holdings : Una SG SPV9","Amazon - UK : SG SPV9","Jocuu",NULL,True,NULL,NULL,NULL,NULL
101,"3003-Silver","4415","Una Holdings : Una SG SPV9","Amazon - IT : SG SPV9","Jocuu",NULL,True,NULL,NULL,NULL,NULL
102,"3030","4265","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
103,"3030-MM","5863","Una Holdings : Una SG SPV1","Ninjavan Malaysia","TSM",NULL,True,NULL,NULL,NULL,NULL
104,"3030-MM","5863","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
105,"303KR","1544","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
106,"304DR","1345","Una Holdings : Una SG SPV1","Ninjavan Malaysia","TSM",NULL,True,NULL,NULL,NULL,NULL
107,"304DR","1345","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
108,"3M-HTKQ-BQQ5","917","Una Holdings : Una SG SPV5","Westbound - CA : SG SPV5","Bellaforte",NULL,True,NULL,NULL,NULL,NULL
109,"3M-HTKQ-BQQ5","917","Una Holdings : Una SG SPV5","Invenco - Australia : SG SPV5","Bellaforte",NULL,True,NULL,NULL,NULL,NULL
110,"3M-HTKQ-BQQ5","917","Una Holdings : Una SG SPV5","Westbound - USA : SG SPV5","Bellaforte",NULL,True,NULL,NULL,NULL,NULL
111,"3M-HTKQ-BQQ5","917","Una Holdings","Westbound - CA : SG SPV5","Bellaforte",NULL,True,NULL,NULL,NULL,NULL
112,"3M-HTKQ-BQQ5","917","Una Holdings","Westbound - UK : SG SPV5","Bellaforte",NULL,True,"UK-3M-HTKQ-BQQ5",NULL,NULL,NULL
113,"3M-HTKQ-BQQ5","917","Una Holdings","Invenco - Australia : SG SPV5","Bellaforte",NULL,True,NULL,NULL,NULL,NULL
114,"3M-HTKQ-BQQ5","917","Una Holdings","Westbound - USA : SG SPV5","Bellaforte",NULL,True,NULL,NULL,NULL,NULL
115,"3M-HTKQ-BQQ5","917","Una Holdings : Una SG SPV5","Westbound - UK : SG SPV5","Bellaforte",NULL,True,"UK-3M-HTKQ-BQQ5",NULL,NULL,NULL
116,"3PKMIX","4163","Una Holdings : Una SG SPV7","Westbound - USA : SG SPV7","Hookeze",NULL,True,"HOOK3PK1B1Y1G",NULL,NULL,NULL
117,"3PKMIX","4163","Una Holdings : Una SG SPV7","Westbound - AU : SG SPV7","Hookeze",NULL,True,NULL,NULL,NULL,NULL
118,"3R-6J9V-XQGL","3862","Una Holdings : Una SG SPV9","Amazon - UK : SG SPV9","Jocuu",NULL,True,NULL,NULL,NULL,NULL
119,"3TKR-BK","6326","Una Holdings : Una SG SPV1",NULL,"TSM",NULL,True,NULL,NULL,NULL,NULL
120,"3TKR-WH","6325","Una Holdings : Una SG SPV1",NULL,"TSM",NULL,True,NULL,NULL,NULL,NULL
121,"4 pack white 3.5'' hooks","4374","Una Holdings : Una SG SPV12","Westbound - USA : SG SPV12","Unjumbly",NULL,True,NULL,NULL,NULL,NULL
122,"40150-BK","3664","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
123,"40150-BK","3664","Una Holdings : Una SG SPV1","Ninjavan Malaysia","TSM",NULL,True,NULL,NULL,NULL,NULL
124,"40150-WH","3665","Una Holdings : Una SG SPV1","Ninjavan Malaysia","TSM",NULL,True,NULL,NULL,NULL,NULL
125,"40150-WH","3665","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
126,"40D-BK","3658","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
127,"40D-BK","3658","Una Holdings : Una SG SPV1","Ninjavan Malaysia","TSM",NULL,True,NULL,NULL,NULL,NULL
128,"40D-BK-R","5867","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
129,"40D-GD","5864","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
130,"40D-WH","3659","Una Holdings : Una SG SPV1","Ninjavan Malaysia","TSM",NULL,True,NULL,NULL,NULL,NULL
131,"40D-WH","3659","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
132,"40D-WH-R","5868","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
133,"45155-BK","5858","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
134,"45155-BK","5858","Una Holdings : Una SG SPV1","Ninjavan Malaysia","TSM",NULL,True,NULL,NULL,NULL,NULL
135,"45155-WH","5859","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
136,"45155-WH","5859","Una Holdings : Una SG SPV1","Ninjavan Malaysia","TSM",NULL,True,NULL,NULL,NULL,NULL
137,"473018-T","1772","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
138,"473018-W","1781","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
139,"473023-T","1773","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
140,"473023-W","1782","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
141,"473030-T","1774","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
142,"473030-W","1783","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
143,"473518-T","1775","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
144,"473518-W","1784","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
145,"473523-T","1776","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
146,"473523-W","1785","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
147,"473530-T","1777","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
148,"473530-W","1786","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
149,"473918-T","1778","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
150,"473918-W","1787","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
151,"473923-T","1779","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
152,"473923-W","1788","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
153,"473930-T","1780","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
154,"473930-W","1789","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
155,"4Q-6JMD-CVUW","3476","Una Holdings : Una SG SPV9","Westbound - USA : SG SPV9","Jocuu",NULL,True,"amzn.gr.4Q-6JMD-CVUW-jB5YFZgleVcWwDiQ-GD",NULL,NULL,NULL
156,"4Q-6JMD-CVUW","3476","Una Holdings : Una SG SPV9","Amazon - UK : SG SPV9","Jocuu",NULL,True,NULL,NULL,NULL,NULL
157,"4X-XHIO-Q345","914","Una Holdings : Una SG SPV5","Westbound - CA : SG SPV5","Bellaforte",NULL,True,NULL,NULL,NULL,NULL
158,"4X-XHIO-Q345","914","Una Holdings","Westbound - USA","Bellaforte",NULL,True,NULL,NULL,NULL,NULL
159,"4X-XHIO-Q345","914","Una Holdings","Westbound - CA : SG SPV5","Bellaforte",NULL,True,NULL,NULL,NULL,NULL
160,"4X-XHIO-Q345","914","Una Holdings : Una SG SPV5","Westbound - USA","Bellaforte",NULL,True,NULL,NULL,NULL,NULL
161,"4X-XHIO-Q345","914","Una Holdings : Una SG SPV5","Westbound - USA : SG SPV5","Bellaforte",NULL,True,"4X-XHIO-Q345-UPC",NULL,NULL,NULL
162,"4X-XHIO-Q345","914","Una Holdings","Westbound - USA : SG SPV5","Bellaforte",NULL,True,NULL,NULL,NULL,NULL
163,"50160-BK","3666","Una Holdings : Una SG SPV1","Ninjavan Malaysia","TSM",NULL,True,NULL,NULL,NULL,NULL
164,"50160-BK","3666","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
165,"50160-WH","3667","Una Holdings : Una SG SPV1","Ninjavan Malaysia","TSM",NULL,True,NULL,NULL,NULL,NULL
166,"50160-WH","3667","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
167,"50D-BK","3660","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
168,"50D-BK","3660","Una Holdings : Una SG SPV1","Ninjavan Malaysia","TSM",NULL,True,NULL,NULL,NULL,NULL
169,"50D-BK-R","5869","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
170,"50D-GD","5865","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
171,"50D-WH","3661","Una Holdings : Una SG SPV1","Ninjavan Malaysia","TSM",NULL,True,NULL,NULL,NULL,NULL
172,"50D-WH","3661","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
173,"50D-WH-R","5870","Una Holdings : Una SG SPV1","Kerry Logistics - Singapore : SG SPV1","TSM",NULL,True,NULL,NULL,NULL,NULL
174,"6 Divided Basket","7792","Una Holdings : Una SG SPV18","Amazon - USA : SG SPV18","YangQiHome",NULL,True,NULL,NULL,NULL,NULL
175,"6 Divided Basket with Lid","7793","Una Holdings : Una SG SPV18","Amazon - USA : SG SPV18","YangQiHome",NULL,True,NULL,NULL,NULL,NULL
176,"6 ice ball black","5346","Una Holdings : Una SG SPV16","Westbound - USA : SG SPV16","Samuel World",NULL,True,NULL,NULL,NULL,NULL
177,"6 ice ball grey","5347","Una Holdings : Una SG SPV16","Westbound - USA : SG SPV16","Samuel World",NULL,True,NULL,NULL,NULL,NULL
178,"6 ice ball grey","5347","Una Holdings : Una SG SPV16","Amazon - UK : SG SPV16","Samuel World",NULL,True,NULL,NULL,NULL,NULL
