mapping,seller_sku,brand
baby food green,12 baby food blue,Samuel World
BEL-MYRTLBCH-WG-T,19-UIHD-LSHK,Bellaforte
2I-MHSH-Q8G9-UPC,2I-MHSH-Q8G9,Bellaforte
UK-2I-MHSH-Q8G9,2I-MHSH-Q8G9,Bellaforte
UK-3M-HTKQ-BQQ5,3M-HTKQ-BQQ5,Bellaforte
HOOK3PK1B1Y1G,3PKMIX,Hookeze
amzn.gr.4Q-6JMD-CVUW-jB5YFZgleVcWwDiQ-GD,4Q-6JMD-CVUW,Jocuu
4X-XHIO-Q345-UPC,4X-XHIO-Q345,Bellaforte
6F-25V5-BHA1-UPC,6F-25V5-BHA1,Bellaforte
7D-5YHC-PF9E-UPC,7D-5YHC-PF9E,Bellaforte
7D-5YHC-PF9E-UK,7D-5YHC-PF9E,Bellaforte
INODLW1PBL,9306x1,Inaya
9E-F1RK-8K49-UK,9E-F1RK-8K49,Bellaforte
Aquatic Placemats 30 cm,Aquatic Placemats 30 cm x6,YangQiHome
Aquatic Placemats 35 cm,Aquatic Placemats 35 cm x6,YangQiHome
INNSS24PSW,AST-001-straight,Inaya
INNSS24PWW,AST-001-wavy,Inaya
INDPG4PG,B4203-Grey,Inaya
INDPG4PW,B4203-White,Inaya
Round Bamboo Tray 30 cm,Bamboo Tray 30 cm,YangQiHome
Round Bamboo Tray 35 cm,Bamboo Tray 35 cm,YangQiHome
ET-STY8-RR22,Baseball Hat Rack 24p Black/black,Unjumbly
G1-6QFH-H8OA,Baseball Hat Rack 24p Gray/Clear,Unjumbly
G1-6QFH-H8OA / UK,Baseball Hat Rack 24p Gray/Clear,Unjumbly
G1-6QFH-H8OA / AU,Baseball Hat Rack 24p Gray/Clear,Unjumbly
BM1007-1,Bath Mat S-Natural,Gobam
BM1037,Bath Mat-L-Black,Gobam
GBM1037,Bath Mat-L-Natural,Gobam
GB_EU_BM1007,Bath Mat-L-Natural,Gobam
BM1007,Bath Mat-L-Natural,Gobam
BM1019,Bath Mat-L-Natural V2,Gobam
BM1048,Bath Mat-M-Natural,Gobam
GBM1038,Bath Mat-S-Black,Gobam
BM1038,Bath Mat-S-Black,Gobam
BM1066,Bath Mat-S-Natural V2,Gobam
BM1043,Bath Mat-XL-Black,Gobam
BM1044,Bath Mat-XL-Natural,Gobam
GBM1007,Bath Mat-XL-Natural,Gobam
BBLBBLUYEL-FBM,BBLBBLUYEL,Hookeze
BBLBCOMBY,BBLBBLUYEL,Hookeze
BBLBREDBLU-FBM,BBLBREDBLU,Hookeze
BBLBCOMRB,BBLBREDBLU,Hookeze
BBTPBLU,BBTPBLUE,Hookeze
BBTPBLU-stickerless,BBTPBLUE,Hookeze
BBTPBLUE-FBA,BBTPBLUE,Hookeze
77-WTZP-JTLC,BBTPBLUE,Hookeze
LBB-FBM,BBTPBLUE,Hookeze
5Z-9SFW-7DF8,BBTPGRN,Hookeze
BBTPGRN-stickerless,BBTPGRN,Hookeze
BBTPGRN-FBA,BBTPGRN,Hookeze
BBTPORG-FBA,BBTPORG,Hookeze
BB-ORANGE,BBTPORG,Hookeze
A3-COIG-SU9Z,BBTPRED,Hookeze
BBTPRED-FBA,BBTPRED,Hookeze
FBM-BER101BL-L,BER101BL-L,ZooSnoods
FBM-BER101BL-M,BER101BL-M,ZooSnoods
FBM-BER101BR-M,BER101BR-M,ZooSnoods
FBM-BER101WH-S,BER101WH-S,ZooSnoods
FBM-BER102BR-S,BER102BR-S,ZooSnoods
TA-1 Black,Black Letter Board,Finer Wares
amzn.gr.TA-1_Black-ysxObaIkKOsBTL6U48-VG,Black Letter Board,Finer Wares
